lAboutText1	~1~ ~2~ (~3~ bits)
lDialogEdit	Bewerken
lDialogEditDialogPrompt	Voer de nieuwe naam voor het dialoogvenster in`n(of een deel van de naam):
lDialogEditDialogTitle	Bewerk dialoogvenster - ~1~ ~2~
lDialogEndOfMenu	einde van het menu
lDialogFavoriteDoesNotExistPrompt	De favoriet "~1~" bestaat niet of is niet beschikbaar.`n`nIndien deze favoriet zich op een netwerkschijf bevindt, probeer dan opnieuw na aanmelding op het netwerk.`n`nIndien een favoriet een link bevat naar een webpagina, kies dan de "Link (URL)" optie wanneer je de favoriet aanmaakt.
lDialogFavoriteDoesNotExistTitle	Favorite does not exist - ~1~
lDialogFavoriteLocationEmpty	Deze locatie is leeg. Kies alstublieft een locatie.
lDialogFavoriteMenuPosition	Voeg de nieuwe favoriet toe vóór het geselecteerde
lDialogFavoriteNameEmpty	De naam van de favoriet is leeg. Kies een naam...
lDialogFavoriteNameNoColumnBreak	De naam van het menu kan niet beginnen met de speciale tekens  "~1~" die gebruikt worden als scheiding tussen kolommen.
lDialogFavoriteNameNoPipe	De naam van de favoriet of menu mag het gereserveerde karakter "|" niet bevatten.
lDialogFavoriteNameNoSeparator	De naam voor een submenu mag het gereserveerde letterteken "~1~" niet bevatten.
lDialogFavoriteNameNotNew	De naam "~1~" is reeds in gebruik in dit menu. Kies alstublieft een andere naam.
lDialogFavoriteParentMenu	Favoriet hoofd menu
lDialogFavoriteRemovePrompt	Verwijder het submenu "~1~"`nen ALLE inhoud (mappen en submenu's)?
lDialogFavoriteRemoveTitle	Verwijder favoriet - ~1~
lDialogFavoritesParentMenuMove	Verplaats ~1~ favorieten naar dit menu
lDialogFileLabel	Document
lDialogFileShortName	Document naam (voor in het menu)
lDialogFolderLabel	Map
lDialogFolderShortName	Korte naam voor de map (voor in het menu)
lDialogGroupDelete	Verwijderen
lDialogGroupDeleteError	verwijderen
lDialogGroupDeletePrompt	Verwijder de groep "~1~"?
lDialogGroupEdit	Bewerken
lDialogGroupEditError	bewerken
lDialogGroupLoad	Laden
lDialogGroupLoadError	laden
lDialogGroupManageAbout	Over groepen
lDialogGroupManageCannotSave	Opgepast: Er is geen geopend venster wat je kan bewaren in een nieuwe groep. Open op zijn minst 1 venster van een Verkenner of Directory Opus en probeer opnieuw. 
lDialogGroupManageCreatingPrompt	Om een nieuwe groep aan te maken, klik de "~1~" knop of kies het "~2~" menu.
lDialogGroupManageCreatingTitle	Een groep aanmaken
lDialogGroupManageGroupsTitle	Groepen beheren - ~1~ ~2~
lDialogGroupManageIntro	Met "Groepen" kan je jouw werkruimte bewaren en terug oproepen. Op deze manier kan je makkelijk omschakelen. "Groepen" onthouden de map, grootte, positie en status (normaal, geminimaliseerd of gemaximaliseerd) van de Windows Verkenner of de Directory Opus vensters. Total Commander wordt nog niet ondersteund.
lDialogGroupManageManagingTitle	Groepen beheren
lDialogGroupNew	Een nieuwe groep bewaren
lDialogGroupRemoveTitle	Verwijder groep - ~1~
lDialogGroups	Groepen
lDialogGroupSelect	Selecteer een groep
lDialogGroupSelectError	Gelieve de groep te selecteren om ~1~.
lDialogIcon	Icoon
lDialogInvalidHotkey	Met je huidige toetsenbordindeling kan de sneltoets "~1~" niet gebruikt worden als een trigger voor het popup menu.`n`nGelieve het "~2~ Settings" venster te openen vanuit het taakbalkmenu en selecteers "Opties". Gelieve in dit venster een andere sneltoets te kiezen voor "~3~".
lDialogMaximized	Gemaximalizeerd
lDialogMenuNotMoveUnderItself	Menu "~1~" kan niet onder zichzelf verplaatst worden
lDialogMinimized	Geminimaliseerd
lDialogMoveFavoritesTitle	Verplaats Favorieten - ~1~ ~2~
lDialogNormal	Normaal
lDialogOpenThisMenu	Open dit menu
lDialogRemoveMultipleFavorites	Wil je echt de ~1~ favorieten of submenus verwijderen?
lDialogSave	Bewaren
lDialogSelectItemToEdit	Gelieve het te bewerken object te selecteren.
lDialogSelectItemToRemove	Gelieve het te verwijderen object te selecteren.
lDialogSpecialLabel	Speciale Mappen
lDialogSubmenuLabel	Submenu
lDialogSubmenuNameEmpty	De naam van dit submenu is leeg. Kies een naam...
lDialogSubmenuParentMenu	Submenu hoofd menu
lDialogSubmenuShortName	Korte naam voor het submenu
lDialogTabNext	Volgende
lDialogThirdPartyDetected	~1~ heeft gemerkt dat ~2~ geinstalleerd is op jouw computer.`n`nWil je de ~2~ integratie activeren?
lDialogURLLabel	URL
lDialogURLShortName	Korte naam voor de webkoppeling (voor in het menu)
lDonateButton	Steun Freeware!
lDonateCheckPrompt	Ben je tevreden over ~1~?`n`n~1~ is niet alleen GRATIS maar bevat ook GEEN vervelende reclame of adware (waarvan je nooit zeker weet of ze geen spyware of malware bevatten)`n`nTot nog toe heeft ~1~ jou ~2~ maal geholpen tijdens je dagelijkse werkzaamheden. Wat zou je er van denken om freeware te steunen?
lDonateCheckTitle	~1~ maal! - ~2~
lDonateMenu	S&teun Freeware!
lDonatePlatformComment1	De meest flexibele manier door je PayPal account of kredietkaart te gebruiken
lDonatePlatformComment2	Met een officiële factuur voor het geval je het wil terugvorderen.
lDonatePlatformName1	Met Paypal
lDonatePlatformName2	Met Share-it
lDonateReviewNameLeft1	Download.com
lDonateReviewNameLeft2	PortableFreeware.com
lDonateReviewNameLeft3	Softpedia.com
lDonateReviewNameRight1	BetaNews.com
lDonateReviewNameRight2	FileCluster.com
lDonateReviewNameRight3	Freewares && Tutos (FR)
lDonateText1	Steun ~1~ ontwikkeling!
lDonateText2	<a href="~1~">Waarom freeware steunen?</a>
lDonateText3	... of steun freeware geheel gratis!
lDonateText4	Geef een gunstige recensie aan ~1~ op:
lDonateText5	Stuur me jouw link
lDonateThankyou	Dank-je-wel om eerlijk te zijn en freeware te steunen!
lDonateTitle	Steun freeware! - ~1~ ~2~
lGui2Close	Sluiten
lGuiAbout	Over
lGuiAddDialog	Toevoegen
lGuiAddFavorite	Toevoegen
lGuiCancel	&Annuleren
lGuiClose	&Sluiten
lGuiDonate	Steun
lGuiDropFilesHelp	Drag & Drop Help
lGuiDropFilesIncentive	Je kan volgende favoriettypes Drag & Drop'en`nnaar het venster ~1~:`n`n- ~2~`n- ~3~
lGuiEditFavorite	Bewerken
lGuiGroupClosing	Vensters sluiten
lGuiGroupOf	van
lGuiGroupSaveAddWindowsLabel	Toevoegen bij bestaande vensters
lGuiGroupSaved	Groep "~1~" werd bewaard.`n`nSelecteer het menu "~2~" om deze groep te laden.
lGuiGroupSaveDeselectAll	Alles deselecteren
lGuiGroupSaveEditPrompt	~1~ deze groep
lGuiGroupSaveEditTitle	~1~ een groep van vensters - ~2~ ~3~
lGuiGroupSaveLvHeader	Pad|Toepassing|Toestand van het venster|Links|Boven|Breedte|Hoogte|Zijde
lGuiGroupSaveNameEmpty	De groepsnaam is niet ingevuld. Kies alsjeblieft een groepsnaam.
lGuiGroupSaveNewGroup	Nieuwe groep
lGuiGroupSaveReplaceGroup	Groep "~1~" bestaat. Wil je deze vervangen?
lGuiGroupSaveReplaceWindowsLabel	Vervang bestaande vensters
lGuiGroupSaveRestoreOption	Indien deze groep opgeroepen wordt:
lGuiGroupSaveSelect	Selecteer de mappen om te bewaren in deze groep
lGuiGroupSaveSelectAll	Alles selecteren
lGuiGroupSaveSelectExisting	of kies een bestaande groep om te overschrijven:
lGuiGroupSaveShortName	Verkorte groepsnaam (voor menu)
lGuiHelp	Hulp
lGuiHotkeysHelp	Favorieten Snelkoppelingen Help
lGuiHotkeysHelpText	Pijltje-naar-beneden: Selecteer de volgende favoriet`nPijltje-naar-boven: Selecteer de vorige favoriet`nCtrl-N: Voeg een nieuwe favoriet toe`nEnter: Wijzig de favoriet`n`nShift+Pijl naar boven of beneden: Selecteer meerdere favorieten`nCtrl-Click: Selecteer meerdere lossen favorieten`nCtrl-A: Selecteer alle favorieten`n`nCtrl+Pijltje-naar-beneden: Verplaats favorieten naar beneden`nCtrl+Pijltje-naar-boven: Verplaats favorieten naar boven`nDel: Verwijder favorieten`n`nCtrl+Pijltje-naar-rechts: Open submenu`nCtrl+Pijltje-naar-links: Open hoger liggende submenu
lGuiLvDialogsHeader	Ondersteunde dialoogvensters`n(deel van de naam volstaat)
lGuiLvFavoritesHeader	Naam|Locatie
lGuiMove	Verplaatsen
lGuiMoveFavoriteDown	Naar beneden
lGuiMoveFavoriteUp	Naar boven
lGuiOptions	Opties
lGuiRemoveFavorite	Verwijderen
lGuiResetDefault	Zet de standaard sneltoets terug
lGuiSave	Bewaren
lGuiSeparator	Se&parator
lGuiSubmenuDropdownLabel	Te wijzigen menu:
lGuiSubmenuLocation	>
lGuiSubmenuSeparator	>
lGuiTitle	Instellingen - ~1~ ~2~
lHelpTabAddingFavorite	Favoriet toevoegen
lHelpTabGettingStarted	Er mee beginnen
lHelpTabTitlesTipsAndTricks	Tips & Tricks
lHelpText1	Wanner FoldersPopup gestart wordt dan verschijnt er een icoontje in de systeembalk en FoldersPopup wacht dan op taken van jou. Als je naar een andere map wil springen in Windows Verkenner of in een ander bestandsdialoogvenster, druk dan op de middenste muisknop of druk de Windows-A toetsencombinatie. Vervolgens kan je de gewenste map selecteren en FoldersPopup brengt je er direct naar toe! Of gebruik FoldersPopup om snel 1 van jouw favoriete documenten of webpagina's te openen.
lHelpText2	Kies "Instellingen" om het FoldersPopup instellingsvenster te openen waar je MAPPEN, DOCUMENTEN of WEBKOPPELINGEN kan toevoegen aan jouw menu. Uiteraard kan je deze ook hernoemen, verplaatsen of verwijderen. Je kan ook SUBMENU's toevoegen, die je ook weer kan hernoemen, verplaatsen of verwijderen. Selecteer het submenu dat je wil aanpassen in de "Te wijzigen menu" uitklaplijst (dropdown list). Klik vervolgens op "Bewaren" om jouw wijzigingen te bewaren.
lHelpText3	Je kan snel nieuwe favoriete MAP toevoegen aan het popup menu:`n1) Ga naar een vaak gebruikte map.`n2) Druk op de middenste muisknop (of druk Windows-A) en kies voor "Voeg deze map toe".`n3) Geef deze map een korte naam, druk "OK" en "Bewaren" in het instellingsvenster.
lHelpText4	Om een nieuw favoriet DOCUMENT of WEBKOPPELING (ook wel WEBLINK genaamd) toe te voegen aan het popup menu:`n1) Open het FoldersPopup menu en kies "Instellingen" (Shift-Windows-F).`n2) Klik op "Toevoegen" en kies vervolgens de optie "Document" of "Link (URL)".`n3) Geef de favoriet een korte naam, navigeer naar het document of voeg de URL van de webpagina toe en klik vervolgens op "Toevoegen". Uiteindelijk bewaar je alles in FoldersPopup door op de knop "Bewaren" te klikken in het instellingsvenster.
lHelpText5	- Via rechtermuisklik op het FoldersPopup icoontje in de systeembalk kan je de optie "Uitvoeren bij opstarten" activeren om FoldersPopup automatisch te starten tijdens het opstarten van Windwos.`n- Wil je een favoriete map openen in een nieuw Windows verkenner venster?  Druk dan op de middenste muisknop of gebruik de Windows-A toetsencombinatie. Dit laat je ook toe om je favoriete map te openen vanuit een willekeurig ander programma.`n- Gebruik "Huidige Mappen" om een van de mappen te openen die al in een Verkenner venster geopend zijn. Gebruik "Mapgroepen" om groepen van mappen te bewaren of te herstellen.`n- Stel je popup menu triggers in: kies muis knoppen naar jouw voorkeur of sneltoetsen in "Instellingen, Opties".`n- Eveneens in "Opties": kies de taal van jouw voorkeur, de mogelijkheid om ook recente mappen weer te geven, voeg numerieke sneltoetsen toe aan het mapmenu of prik het popup menu vast op een vaste positie.`n-Directory Opus gebruikers, raadpleeg <a href="http://code.jeanlalonde.ca/using-folderspopup-with-directory-opus/"deze pagina</a> voor bijkomende informatie.`n-Total Commander gebruikers, raadpleeg <a href="http://code.jeanlalonde.ca/using-folderspopup-with-total-commander/"deze pagina</a> voor bijkomende informatie.
lHelpText6	Ondersteuning voor FoldersPopup is beschikbaar via <a href="http://www.code.jeanlalonde.ca/folderspopup">www.code.jeanlalonde.ca/folderspopup</a>.
lHelpText7	~1~ Jean Lalonde 2013-2014. Freeware.
lHelpTextLead	FoldersPopup laat je snel wisselen tussen de mappen, documenten en webpagina's die je vaak gebruikt!
lHelpTitle	Hulp - ~1~ ~2~
lMainMenuName	Hoofdmenu
lMenuAbout	Over
lMenuAddThisFolder	Deze m&ap toevoegen
lMenuAppData	Applicatiegegevens
lMenuCache	Cache
lMenuColumnBreak	kolom
lMenuCommonAppData	Gemeenschappelijke Applicatiegegevens
lMenuCommonDesktop	Gemeenschappelijk Bureaublad
lMenuCommonStartMenu	Gemeenschappelijk Start Menu
lMenuCommonStartupMenu	Gemeenschappelijk Startup Menu
lMenuControlPanel	&Configuratiescherm
lMenuCookies	Cookies
lMenuDesktop	Bureaublad
lMenuDialogNotSupported	Dit type dialoogvenster wordt nog niet ondersteund
lMenuDocuments	Documenten
lMenuDownloads	Downloads
lMenuExitFoldersPopup	Exit ~1~
lMenuFavoritesInternet	Favorieten (Internet)
lMenuFoldersInExplorer	Huidige Mappen
lMenuFonts	Lettertypen
lMenuFPMenu	~1~ ~2~
lMenuGroup	&Mapgroepen
lMenuGroupAdd	toevoegen
lMenuGroupLoad	Laad een groep
lMenuGroupReplace	vervangen
lMenuGroupSave	De huidige mappen als een groep bewaren
lMenuHelp	Hulp
lMenuHistory	Geschiedenis
lMenuMenu	Menu
lMenuMyComputer	&Mijn Computer
lMenuMyMusic	Mijn Muziek
lMenuMySystemMenu	Mijn speciale mappen
lMenuMyVideo	Mijn Video's
lMenuNetworkNeighborhood	Mijn &Netwerklocaties
lMenuPictures	Afbeeldingen
lMenuProgramFiles	Programmabestanden
lMenuProgramsFolderStartMenu	Startmenuprogramma's
lMenuPublicLibraries	Gemeenschappelijke Templates (sjablonen)
lMenuQuickLaunch	Snelkoppelingen
lMenuRecentFolders	&Recente bezochte mappen
lMenuRecentItems	Onlangs geopend
lMenuRecycleBin	Prullenbak
lMenuRefreshRecent	Vernieuwen van het menu met de recent bezochten mappen
lMenuReservedShortcuts	SWRFA
lMenuReservedShortcutsDonate	T
lMenuRunAtStartup	Uitvoe&ren bij opstarten
lMenuSeparator	----------------
lMenuSettings	&~1~ Instellingen
lMenuSpecialExplorer	Speciaal verkenner venster
lMenuSpecialFolders	&Speciale Mappen
lMenuStartMenu	Start Menu
lMenuStartup	Startup
lMenuSuspendHotkeys	Pauzeer Hotkeys
lMenuSystemCertificates	Systeem Certificaten
lMenuTemplates	Templates (sjablonen)
lMenuTemporaryFiles	Tijdelijke bestanden
lMenuUpdate	Controleren op nieuwe versies
lMenuUserFolder	User Folder
lMenuUserPinned	User Pinned
lNavigateFileError	Een fout trad op tijdens het openen van deze map:`n~1~.
lNavigateSpecialError	Een fout trad op tijdens het openen van de speciale map #~1~.
lOopsCouldNotOpenSpecialFolder	~1~ kan de speciale folder "~2~" niet openen.
lOopsDialogBox	Het dialoogvenster
lOopsTitle	~1~ (~2~)
lOopsWriteProtectedError	~1~ werd gestart vanuit een map die tegen schrijven beschermd is en dus kan het configuratiebestand "~1~.ini" niet worden aangemaakt.`n`nVerplaats de ~1~. EXE naar een normale map en start het programma vanuit deze map.`n`n~1~ wordt nu afgesloten.
lOopsWrongFPconnectAppPathFilename	Verkeerd pad- of bestandsnaam gedecteerd voor de parameter "AppPath" in de FPconnect configuratie:`n~1~.`n`nControleer het opgegeven pad voor de .exe ( variabele "AppPath" in FCConnect ini file):`n~2~
lOopsWrongThirdPartyPath	Verkeerd pad- of bestandsnaam gedecteerd voor ~1~:`n~2~.`n`nControleer het .exe bestand wat geselecteerd werd voor ~1~ in "Opties", tab "~3~".
lOopsZipFileError	Blijkbaar heb je ~1~ direct gestart vanuit een .ZIP bestand.`n`nJe moet het ~1~ .EXE bestand uit het .ZIP bestand uitpakken in een map van jouw keuze vooraleer het te starten.`n`n~1~ wordt nu afgesloten.
lOptionsAlt	Alt
lOptionsArrDescriptions1	Kies de combinatie van MUISknop en speciale toetsen (CTRL/ALT/SHIFT/WIN) die het popup menu voor mappen opent in Windows Verkenner of in bestandsdialoogvensters. Standaard is dit de middenste muisknop zonder een speciale toets.
lOptionsArrDescriptions2	Kies de combinatie van MUISknop en speciale toetsen (CTRL/ALT/SHIFT/WIN) die het popup menu voor mappen opent in elk willekeurig venster en die navigeert naar de geselecteerde map in een NIEUW venster van Windows Verkenner. Standaard is dit de middenste muisknop terwijl de Shift toets wordt ingedrukt.
lOptionsArrDescriptions3	Kies de TOETSENBORD sneltoets combinatie die er voor zorgt dat het popup menu voor mappen opent in Windows Verkenner of in bestandsdialoogvensters. Standaard is dit de Win+K combinatie (de letter "K" terwijl de Windows toets wordt ingedrukt).
lOptionsArrDescriptions4	Kies de TOETSENBORD sneltoets combinatie die er voor zorgt dat het popup menu voor mappen opent in elk willekeurig venster en die navigeert naar de geselecteerde map in een NIEUW venster van Windows Verkenner. Standaard is dit de Shift+Win+K combinatie (de letter "K" terwijl de Shift toets en de Windows toets worden ingedrukt).
lOptionsArrDescriptions5	Kies een sneltoets of een muisknop combinatie die het "Recente Mappen" menu dient te openen. Standaard is dit Shift+Windows+R.
lOptionsArrDescriptions6	Kies de sneltoets of muisknop combinatie die er voor zorgt dat de FoldersPopup instellingen geopend worden. Standaard is dit de toetsencombinatie Shift+Windows+F.
lOptionsChangeHotkey	Wijzigen
lOptionsChangeHotkeyTitle	Wijzig sneltoets - ~1~ ~2~
lOptionsCheck4Update	Controleren op nieuwe versies
lOptionsCtrl	Ctrl
lOptionsDirectoryOpusUseTabs	Gebruik tabbladen
lOptionsDisplayFoldersInExplorerMenu	Huidige Mappen
lOptionsDisplayGroupMenu	Groep van mappen
lOptionsDisplayIcons	Toon Menu Iconen
lOptionsDisplayMenus	Toon Menus:
lOptionsDisplayMenuShortcuts	Toon de &Numerieke Menu Sneltoetsen
lOptionsDisplayRecentFolders	Recente bezochte mappen
lOptionsDisplaySpecialFolders	S&peciale Mappen
lOptionsGuiTitle	Opties - ~1~ ~2~
lOptionsIconSize	Menu iconen grootte
lOptionsKeyboard	Toetsenbord
lOptionsLanguage	Taal
lOptionsLanguageLabels	Engels|Frans|Duits|Nederlands|Koreaans|Zweeds|Italiaans
lOptionsMenuActiveWindow	In het actieve venster
lOptionsMenuFixPosition	Op een vaste positie
lOptionsMenuNearMouse	In de buurt van de muisaanwijzer
lOptionsMenuPositionPrompt	Toon het:
lOptionsMouse	Muis
lOptionsMouseAndKeyboard	Muis en toetsenbord
lOptionsMouseButtonsText	Linkermuisknop|Middenste muisknop|Rechtermuisknop|Speciale muisknop 1|Speciale muisknop 2|Muiswiel omhoog|Muiswiel omlaag|Muiswiel links|Muiswiel rechts|
lOptionsMouseCheckLButton	Je kan de linkermuisknop niet toewijzen zonder een extra speciale toets erbij.
lOptionsMouseNone	Geen
lOptionsNoKeyOrMouseSpecified	Geen toets of muisknop werd gespecifieerd. De bestaande "~1~" combinatie blijft ongewijzigd.
lOptionsOpenMenuOnTaskbar	Open menu via de taakbalk
lOptionsOtherOptions	Algemeen
lOptionsPopupFix	Popup &Menu op een Vaste Positie
lOptionsPopupFixPositionX	Positie X:
lOptionsPopupFixPositionY	Y:
lOptionsRecentFolders	R&ecente Mappen
lOptionsRememberSettingsPosition	Herinneren positie venster
lOptionsRunAtStartup	&Uitvoeren bij Opstarten
lOptionsShift	Shift
lOptionsSpacebar	gebruik de spatiebalk
lOptionsTabFileManagersIntro	Voor de gebruikers van andere programma's voor bestandsbeheer
lOptionsTabMouseAndKeyboardIntro	Definieer de muisknoppen en sneltoetsen die ~1~ zullen triggeren.
lOptionsTabOtherOptionsIntro	Laat ~1~ functioneren zoals jij wil!
lOptionsTheme	Thema
lOptionsThirdParty	Add-on voor de support van andere programma's voor bestandsbeheer
lOptionsThirdPartyDetail	Selecteer het ~1~ programma (.exe) om de ~1~ integratie te activeren.
lOptionsThirdPartyDetailFPconnect	Selecteer het FPconnect programma (.exe) om de integratie met jouw bestandsbeheerprogramma te activeren.
lOptionsThirdPartyPrompt	Programma:
lOptionsThirdPartyTitle	~1~ gebruikers
lOptionsThirdPartyTitleFPconnect	Gebruikers van andere programma's voor bestandsbeheer gebruiken FPconnect
lOptionsTitles	Muis - Folders Popup|Muis - Nieuwe Verkenner|Toetsenbord - Folders Popup|Toetsenbord - Nieuwe Verkenner|Recente Mappen|Instellingen
lOptionsTitlesSub	(toon menu in de Verkenner en dialoogvensters)|(toon menu in een willekeurig venster)|(toon menu in de Verkenner en dialoogvensters)|(toon menu in een willekeurig venster)|(lijst met recent bezochte Windows locaties)|(menu configuratie and opties)
lOptionsTotalCommanderUseTabs	Gebruik tabs
lOptionsTrayTip	Toon &Startup Systeembalk Tip
lOptionsTriggerFor	Trigger voor:
lOptionsWin	Win
lPickIconButtonCustom	Aangepast
lPickIconButtonDefault	Standaard
lPickIconDocumentPrompt	Wil je een aangepast icoon gebruiken of liever het standaard icoon voor dit type document? 
lPickIconTitle	Selecteer ~1~ Icoon - ~2~
lReloadPrompt	~1~ werd gewijzigd naar ~2~. Wil je ~3~ laden in het ~2~ nu? Niet bewaarde wijzigingen gaan verloren.
lReloadPromptDefaultHotkey	Hotkey changed to default value. This change will be effective only after you reload ~1~.`n`nDo you want to reload ~1~ now? Unsaved changes to the folders menu will be lost.
lReloadPromptDefaultHotkey	Standaard sneltoets werd terug gezet op de standaard waarde. Deze wijziging gaat pas in als je ~1~ opnieuw laadt. Wil je ~1~ nu opnieuw laden? Niet bewaarde wijzigingen aan het menu gaan dan verloren. 
lTrayTipInstalledDetail	Om het ~1~ menu te tonen, druk:`n`n~2~ / ~3~`nin Windows Verkenner of in een dialoogvenster`n`n~4~ / ~5~`nom een nieuw Verkenner venster te openen
lTrayTipinstalledTitle	~1~ ~2~ klaar!
lTrayTipWorkingDetail	Menus aan het opbouwen
lTrayTipWorkingDetailFinished	Het menu is bijgewerkt.
lTrayTipWorkingTitle	~1~ ~2~ opbouwen...
lUpdateButtonRemind	Herinner me
lUpdateError	Een fout trad op bij het controleren van het versienummer. De controle voor een update wordt stopgezet.
lUpdatePrompt	Update ~1~ van v~2~ naar v~3~?
lUpdateTitle	Update ~1~?
lUpdateYouHaveLatest	Je hebt reeds de meest recente versie: ~1~.`n`nWil je de ~2~ pagina toch bezoeken?
lWindowIsTreeviewText	Sorry... maar door een beperking in Windows is dit type venster (TreeView) nog niet ondersteund.
lWindowIsTreeviewTitle	Tree view dialoog vensters worden niet ondersteund
