lAboutText1	~1~ ~2~ (~3~ bits)
lDialogCancelTitle	Abbrechen - ~1~ ~2~
lDialogEdit	Bearbeiten
lDialogEditDialogPrompt	Geben Sie den neuen Namen für die Dialogbox ein`n(oder einen Teil des Namens):
lDialogEditDialogTitle	Dialogbox bearbeiten - ~1~ ~2~
lDialogEndOfMenu	Ende des Menüs
lDialogFavoriteDoesNotExistPrompt	Der Favorit "~1~" existiert nicht oder ist nicht verfügbar.`n`nSollte sich dieser Favorit auf einem Netzlaufwerk befinden, versuchen Sie es nach erfolgter Authentifizierung nochmals.`n`nSollte dieser Favorit ein Link auf eine Webseite sein, wählen Sie die Option "Link (URL)" wenn Sie den Favoriten hinzufügen.
lDialogFavoriteDoesNotExistTitle	Favorit existiert nicht - ~1~
lDialogFavoriteLocationEmpty	Dieser Ort ist leer. Bitte wählen Sie einen Ort.
lDialogFavoriteMenuPosition	neuen Favoriten vor diesem Element einfügen
lDialogFavoriteNameEmpty	Der Name des Favorite ist leer. Bitte wählen Sie einen kurzen Namen.
lDialogFavoriteNameNoColumnBreak	Der Menüname kann die reservierten Zeichen "~1~" nicht als Spaltentrennzeichen verwenden.
lDialogFavoriteNameNoPipe	Der Favorit oder Menüname darf das reservierte Zeichen "|" (vertikale Linie) nicht enthalten.
lDialogFavoriteNameNoSeparator	Das Untermenü darf das reservierte Zeichen "~1~" nicht enthalten.
lDialogFavoriteNameNotNew	Der Name ~1~ wird bereits in diesem Menü verwendet. Bitte wählen Sie einen anderen Namen.
lDialogFavoriteParentMenu	Favorite Hauptmenü
lDialogFavoriteRemovePrompt	Entfernen des Untermenü "~1~"`nund ALL seines Inhalts (Ordner und Untermenüs)?
lDialogFavoriteRemoveTitle	Entfernen des Favorite - ~1~
lDialogFavoritesParentMenuMove	Verschiebe ~1~ Favoriten in dieses Menü
lDialogFileLabel	Dokumente
lDialogFileShortName	Dokument-Kurzname (für Menü)
lDialogFolderLabel	Ordner
lDialogFolderShortName	Kurzname des Ordners für das Menü
lDialogGroupDelete	Löschen
lDialogGroupDeleteError	löschen
lDialogGroupDeletePrompt	Löschen der Gruppe "~1~"?
lDialogGroupEdit	Bearbeiten
lDialogGroupEditError	bearbeiten
lDialogGroupLoad	Laden
lDialogGroupLoadError	laden
lDialogGroupManageAbout	Über Gruppen
lDialogGroupManageCannotSave	Warnung: Es gibt kein offenes Fenster zum Speichern in einer neuen Gruppe. Öffnen Sie zumindest ein Explorer oder Directory Opus Fenster und versuchen Sie erneut eine neue Gruppe zu speichern.
lDialogGroupManageCreatingPrompt	Um eine Gruppe zu erstellen, klicken Sie die Schaltfläche "~1~" oder wählen Sie jederzeit das "~2~" Menü.
lDialogGroupManageCreatingTitle	Gruppe erstellen
lDialogGroupManageGroupsTitle	Gruppen - ~1~ ~2~ verwalten
lDialogGroupManageIntro	Mittels "Gruppen" können Sie Ihre Arbeitsumgebung speichern und wieder laden, um effektiv zwischen Ihren Arbeitssitzungen hin- und herzuschalten. "Gruppen" speichern die Ordner, Größe, Position und Status (normal, minimiert oder maximiert) von Windows Explorer und Directory Opus Fenstern (Total Commander noch nicht unterstützt).
lDialogGroupManageManagingTitle	Gruppen verwalten
lDialogGroupNew	Neue Gruppe speichern
lDialogGroupRemoveTitle	Gruppe - ~1~ löschen
lDialogGroups	Gruppen
lDialogGroupSelect	Gruppe auswählen
lDialogGroupSelectError	Bitte die Gruppe zum ~1~ auswählen.
lDialogIcon	Symbol
lDialogInvalidHotkey	Mit dem derzeitigen Tastaturlayout kann das Tastenkürzel "~1~" nicht verwendet werden, um das Popup-Menü aufzurufen (kein gültiger Tasten Name).`n`nBitte öffnen Sie das "~2~ Einstellungen" aus dem Tray-Menü und klicken Sie auf "Optionen". Wählen Sie in diesem Dialog ein anderes Tastenkürzel für "~3~".
lDialogMaximized	Maximiert
lDialogMenuNotMoveUnderItself	Menü "~1~" kann nicht in sich selbst verschoben werden
lDialogMinimized	Minimiert
lDialogMoveFavoritesTitle	Favoriten verschieben - ~1~ ~2~
lDialogNormal	Normal
lDialogOpenThisMenu	Dieses Menü öffnen
lDialogRemoveMultipleFavorites	Wollen Sie wirklich ~1~ entfernen?
lDialogSave	Speichern
lDialogSelectItemToEdit	Bitte wählen Sie das zu bearbeitende Element.
lDialogSelectItemToRemove	Bitte wählen Sie das zu entfernende Element.
lDialogSpecialLabel	Special Folder
lDialogSubmenuLabel	Untermenü
lDialogSubmenuNameEmpty	Kein Name für das Untermenü angegeben. Bitte Namen vergeben.
lDialogSubmenuParentMenu	Untermenü Elternmenü
lDialogSubmenuShortName	Kurzname des Untermenüs
lDialogTabNext	Nächste
lDialogThirdPartyDetected	~1~ hat festgestellt, daÃŸ ~2~ auf diesem System installiert ist.`n`nWollen Sie die ~2~ Integration einschalten?
lDialogURLLabel	URL
lDialogURLShortName	Link short name (for menu)
lDialogWorkingDirLabel	Starte in
lDonateButton	Unterstützen Sie Freeware!
lDonateCheckPrompt	Sind Sie zufrieden mit ~1~?`n`n~1~ ist nicht nur kostenlos, sondern enthält auch keine Werbung, bei der Sie nie wissen, ob diese Spyware oder Schadsoftware enthält.`n`n~2~ mal bisher, hat Ihnen ~1~ bei der täglichen Arbeit geholfen. Wie wär's jetzt mit ein wenig Unterstützung für Freeware?
lDonateCheckTitle	~1~ mal! - ~2~
lDonateMenu	Unterstützen Sie Freeware!
lDonatePlatformComment1	Die flexibelste Möglichkeit ist Ihr PayPal-Konto oder Ihre Kreditkarte zu nutzen
lDonatePlatformComment2	Sie könen eine offizielle Rechnung für die Steuer bekommen
lDonatePlatformName1	Mit Paypal
lDonatePlatformName2	Mit Share-it
lDonateReviewNameLeft1	Download.com
lDonateReviewNameLeft2	PortableFreeware.com
lDonateReviewNameLeft3	Softpedia.com
lDonateReviewNameRight1	BetaNews.com
lDonateReviewNameRight2	FileCluster.com
lDonateReviewNameRight3	Freewares && Tutos (FR)
lDonateText1	Unterstützen Sie die Entwicklung von ~1~ !
lDonateText2	<a href="~1~">Warum sollte ich Freeware unterstützen?</a>
lDonateText3	... oder unterstützen Sie Freeware umsonst!
lDonateText4	Schreiben Sie eine gute Beurteilung über ~1~ auf:
lDonateText5	Schicken Sie mir Ihren Link
lDonateThankyou	Vielen Dank für die Unterstützung von Freeware!
lDonateTitle	Unterstützen Sie Freeware! - ~1~ ~2~
lGui2Close	Schliessen
lGuiAbout	Über
lGuiAddDialog	Hinzufügen
lGuiAddFavorite	Hinzufügen
lGuiCancel	&Abbrechen
lGuiClose	&Schliessen
lGuiDonate	Unterstützen
lGuiDropFilesHelp	Drag & Drop Hilfe
lGuiDropFilesIncentive	Sie können folgende Favoritentypen per Ziehen und Ablegen`nin das ~1~ Fenster verschieben:`n`n- ~2~`n- ~3~
lGuiEditFavorite	Bearbeiten
lGuiGroupClosing	Schliesse Fenster
lGuiGroupOf	von
lGuiGroupSaveAddWindowsLabel	Zu bestehendem Fenster hinzufügen
lGuiGroupSaved	Gruppe "~1~" gespeichert.`n`nKlicken Sie im Menü "~2~" um diese Gruppe zu laden.
lGuiGroupSaveDeselectAll	Alles abwählen
lGuiGroupSaveEditPrompt	~1~ diese Gruppe
lGuiGroupSaveEditTitle	~1~ eine Gruppe von Fenstern - ~2~ ~3~
lGuiGroupSaveLvHeader	Pfad|Anwendung|Fensterstatus|Links|Oben|Breite|Höhe|Seite
lGuiGroupSaveNameEmpty	Der Gruppenname ist leer. Bitte wählen Sie einen Gruppennamen.
lGuiGroupSaveNewGroup	Neue Gruppe
lGuiGroupSaveReplaceGroup	Gruppe "~1~" besteht bereits. Ersetzen?
lGuiGroupSaveReplaceWindowsLabel	Ersetzen bestehender Fenster
lGuiGroupSaveRestoreOption	Wenn diese Gruppe wiederhergestellt wird:
lGuiGroupSaveSelect	Wählen Sie die in dieser Gruppe zu speichernden Ordner
lGuiGroupSaveSelectAll	Alles auswählen
lGuiGroupSaveSelectExisting	oder wählen Sie eine bestehende Gruppe zum Überschreiben:
lGuiGroupSaveShortName	Kurzname der Gruppe (für das Menü)
lGuiHelp	Hilfe
lGuiHotkeysHelp	Favoriten Shortcuts Hilfe
lGuiHotkeysHelpText	Runter: Nächster Favorit`nRauf: Vorhergehender Favorit`nStrg-N: Neuen Favoriten hinzufügen`nEnter: Favorit bearbeiten`n`nShift-Rauf/Runter: Zusammenhängende Favoriten auswählen`nStrg-Click: Unzusammenhängende Favoriten auswählen`nStrg-A: Alle Favoriten auswählen`n`nStrg-Runter: Favorit(en) nach unten verschieben`nStrg-Hoch: Favorit(en) nach Oben verschieben`nEntf: Favorit(en) entfernen`n`nStrg-Rechts: Untermenü öffnen`nStrg-Links: Elternmenü öffnen
lGuiLvDialogsHeader	Unterstützte Dialoge`n(Teile der Namen)
lGuiLvFavoritesHeader	Name|Ort
lGuiMove	Verschieben
lGuiMoveFavoriteDown	Nach u&nten bewegen
lGuiMoveFavoriteUp	Nach o&ben bewegen
lGuiOptions	Optionen
lGuiRemoveFavorite	Entfernen
lGuiResetDefault	Zurücksetzen des Standard-Hotkeys
lGuiSave	&Speichern
lGuiSeparator	Se&parator
lGuiSubmenuDropdownLabel	Zu bearbeitendes Menü:
lGuiSubmenuLocation	>
lGuiSubmenuSeparator	>
lGuiTitle	Einstellungen - ~1~ ~2~
lHelpTabAddingFavorite	Favorit hinzufügen
lHelpTabGettingStarted	Anfangen
lHelpTabTitlesTipsAndTricks	Tips und Tricks
lHelpText1	Beim Start fügt FoldersPopup ein Symbol im System Tray hinzu und wartet auf den Einsatz. Wenn Sie das aktuelle Verzeichnis im Windows Explorer oder in einem Dateiauswahlfenster wechseln möchten, klicken Sie einfach mit der mittleren Maustaste oder drücken Sie Windows-A und wählen Sie im Popup-Menü das gewünschte Verzeichnis. FoldersPopup wechselt dann sofort dorthin! Oder nutzen Sie die Möglichkeit, schnell ein bestimmtes Dokument oder eine Webseite zu öffnen.
lHelpText2	Wählen Sie "Einstellungen" um das Einstellungsfenster zu öffnen, wo Sie favorisierte ORDNER, DOKUMENTE oder WEBSEITEN zum Menü hinzufügen können. Sie können diese verschieben, umbenennen oder löschen. Sie können ebenfalls UNTERMENÜS hinzufügen, verschieben oder löschen. Wählen Sie hierzu "Zu bearbeitendes Menü:" in der Dropdown-Auswahl. Klicken Sie auf "Speichern" um die Änderungen zu sichern.
lHelpText3	Um schnell einen neuen Favoriten zum Popup-Menü hinzuzufügen:`n1) Navigieren Sie zu einem oft benutzten Ordner.`n2) Klicken Sie mit der mittleren Maustaste (oder drücken Sie Windows-A) und wählen Sie "Diesen Ordner hinzufügen".`n3) Vergeben Sie einen kurzen, sprechenden Namen, klicken sie "Hinzufügen" und "Speichern" im Einstellungsfenster.
lHelpText4	Um schnell ein neues DOKUMENT oder einen WEBLINK zum Popup-Menü hinzuzufügen:`n1) Öffnen Sie das Popup-Menü des Ordners und wählen Sie "Einstellungen" (Shift-Windows-F).`n2) Klicken Sie "Hinzufügen" und wählen Sie die Option "Dokument" oder "Link (URL)".`n3) Vergeben Sie einen kurzen, sprechenden Namen, navigieren Sie zum Dokument oder geben Sie die URL der Webseite ein, klicken Sie "Hinzufügen" und "Speichern" im Einstellungsfenster.
lHelpText5	- Aktivieren Sie  die Option "Beim Starten ausführen" im Tray-Menü, um FoldersPopup automatisch beim Systemstart auszuführen.`n- Soll ein bevorzugter Ordner in einem neuen Explorer-Fenster geöffnet werden? Drücken Sie einfach die Shift-Taste zusammen mit der linken und mittleren Maustaste (oder Shift-Windows-A). Dies erlaubt es, einen bevorzugten Ordner aus jedem Fenster heraus zu öffnen.`n- Wählen Sie das "Kürzlich geöffnete Ordner..." Menü (Shift-Windows-R) um eine aktualisierte Liste der kürzlich geöffneten Ordner zu sehen.`n- Benutzen Sie "Aktuelle Ordner" um einen Ordner zu öffnen, der bereits in einem Explorer-Fenster geöffnet ist, oder "Ordnergruppen" um Gruppen von Ordnern wiederherzustellen.`n- Konfigurieren Sie die Popup-Menü Trigger: wählen Sie die bevorzugte Maustaste oder das Tastaturkürzel unter "Einstellungen, Optionen".`n- Ebenfalls unter "Optionen": wählen Sie die bevorzugte Sprache, Symbolgröße oder Fensterfarbe. Wählen Sie die Optionen zur Anzeige der bevorzugten Ordner, fügen Sie dem Ordner-Menü numerische Tastenkürzel hinzu oder geben Sie dem Popup-Menü eine feste Position.`n- Directory Opus Benutzer, lesen Sie bitte <a href="http://code.jeanlalonde.ca/using-folderspopup-with-directory-opus/">Diese Seite</a> für weitere Informationen.`n- Total Commander Benutzer, lesen Sie bitte <a href="http://code.jeanlalonde.ca/using-folderspopup-with-total-commander/">Diese Seite</a> für weitere Informationen.
lHelpText6	Support für FoldersPopup gibt es auf`n<a href="http://www.code.jeanlalonde.ca/folderspopup">www.code.jeanlalonde.ca/folderspopup</a>.
lHelpText7	~1~ Jean Lalonde 2013-2014. Freeware!
lHelpTextLead	FoldersPopup ermöglicht es Ihnen, schnell zwischen häufig benutzten Ordnern, Dokumenten und Webseiten zu wechseln!
lHelpTitle	Hilfe - ~1~ ~2~
lMainMenuName	Haupt
lMenuAbout	Ü&ber
lMenuAddThisFolder	Diesen Ordner hinzufügen
lMenuAppData	Anwendungsdaten
lMenuCache	Cache
lMenuClipboard	&Zwischenablage
lMenuColumnBreak	Spalte
lMenuCommonAppData	Common Application Data
lMenuCommonDesktop	Common Desktop
lMenuCommonStartMenu	Common Startmenü
lMenuCommonStartupMenu	Common Startup Menu
lMenuControlPanel	&Systemsteuerung
lMenuCookies	Cookies
lMenuDesktop	Desktop
lMenuDialogNotSupported	Diese Dialogbox wird momentan noch nicht unterstützt
lMenuDocuments	Dokumente
lMenuDownloads	Downloads
lMenuExitFoldersPopup	Beenden ~1~
lMenuFavoritesInternet	Favoriten (Internet)
lMenuFoldersInExplorer	&Ordner im Explorer
lMenuFonts	Fonts
lMenuFPMenu	~1~ ~2~
lMenuGroup	Ordner Gruppen
lMenuGroupAdd	hinzufügen
lMenuGroupLoad	Gruppe laden
lMenuGroupReplace	ersetzen
lMenuGroupSave	Aktuelle Ordner als Gruppe speichern
lMenuHelp	Hilfe
lMenuHistory	History
lMenuMenu	Menü
lMenuMyComputer	&Mein Computer
lMenuMyMusic	Eigene Musik
lMenuMySystemMenu	Meine Systemordner
lMenuMyVideo	Eigene Videos
lMenuNetworkNeighborhood	&Netzwerkumgebung
lMenuPictures	Bilder
lMenuProgramFiles	Programme
lMenuProgramsFolderStartMenu	Programme (Startmenü)
lMenuPublicLibraries	Public Libraries
lMenuQuickLaunch	Schnellstart
lMenuRecentFolders	Kürzlich verwendete Ordner
lMenuRecentItems	Zuletzt verwendet
lMenuRecycleBin	&Papierkorb
lMenuRefreshRecent	Menü der kürzlich verwendeten Ordner wird aktualisiert
lMenuRunAtStartup	&Beim Start von Windows ausführen
lMenuSeparator	----------------
lMenuSettings	~1~ Einstellungen
lMenuSpecialFolders	Spezielle Ordner
lMenuStartMenu	Startmenü
lMenuStartup	Startup
lMenuSuspendHotkeys	Suspend Hotkeys
lMenuSystemCertificates	System Certificates
lMenuTemplates	Vorlagen
lMenuTemporaryFiles	Temporäre Dateien
lMenuUpdate	Nach &Update suchen
lMenuUserFolder	User Folder
lMenuUserPinned	User Pinned
lNavigateFileError	Beim Öffnen des Ordners `n~1~ trat ein Fehler auf.
lNavigateSpecialError	Beim Öffnen des Speziellen Ordners #~1~ trat ein Fehler auf.
lOopsCouldNotOpenSpecialFolder	~1~ konnte den Systemordner nicht öffnen: "~2~".
lOopsDialogBox	Die Dialogbox
lOopsTitle	~1~ (~2~)
lOopsWriteProtectedError	Es scheint, daß ~1~ aus einem SCHREIBGESCHÜTZTEN ORDNER heraus ausgeführt wird, in dem die Konfigurationsdatei "~1~.ini" nicht erstellt werden kann.`n`nVerschieben Sie die ~1~ .EXE Datei in einen STANDARD Ordner Ihrer Wahl und führen Sie es daraus nochmals aus.`n`n~1~ wird beendet.
lOopsWrongFPconnectAppPathFilename	Falscher Pfad oder Dateiname für Parameter "AppPath" in der FPconnect Konfiguration:`n~1~.`n`nPrüfen Sie den .exe Dateipfad auf "AppPath" in der Datei FCConnect ini:`n~2~
lOopsWrongThirdPartyPath	Falscher Pfad oder Dateiname für ~1~:`n~2~.`n`nPrüfen Sie die ausgewählte .exe Datei auf ~1~ unter "Optionen", tab "~3~".
lOopsZipFileError	Es scheint, daß ~1~ direkt aus einer .ZIP Datei ausgeführt wird.`n`nSie müssen zuerst die Datei ~1~ .EXE aus dem Archiv in ein Verzeichnis Ihrer Wahl entpacken und dann ausführen.`n`n~1~ wird beendet.
lOptionsAlt	Alt
lOptionsArrDescriptions1	Wählen Sie die MAUStaste und die Kombitasten, welche das FoldersPopup Menü im Windows Explorer oder Dateidialogboxen aufruft. Standardmäßig ist dies die mittlere Maustaste ohne zusätzliche Kombitaste.
lOptionsArrDescriptions2	Wählen Sie die MAUStaste und die Kombitasten, welche das FoldersPopup Menü in JEDEM Fenster öffnet und zum gewählten Ordner in einem NEUEN Explorer-Fenster navigiert. Standardmäßig ist dies die mittlere Maustaste mit gedrückter Shift-Taste.
lOptionsArrDescriptions3	Wählen Sie die TASTENkombination, welche das popup menü im Windows Explorer oder Dateidialogboxen aufruft. Standardmäßig ist dies Windows+A (Taste A, während die Windows-Taste gdrückt wird).
lOptionsArrDescriptions4	Wählen Sie die TASTENkombination, welche das popup menu Menü in JEDEM Fenster öffnet und zum gewählten Ordner in einem NEUEN Explorer-Fenster navigiert. Standardmäßig ist dies Shift+Windows+A (Tasten Shift und "A", während die Windows-Taste gedrückt wird).
lOptionsArrDescriptions5	Wählen Sie die Schnelltaste oder Maustastenkombination, welche das FoldersPopup Menü "Kürzlich verwendete Ordner" öffnet. Standardmäßig ist dies Shift+Control+R.
lOptionsArrDescriptions6	Wählen Sie die Tastenkombination oder Maustasten-Kombination, welche den FoldersPopup Einstellungsdialog aufruft. Standardmäßig ist dies Shift+Control+S.
lOptionsChangeHotkey	Ändern
lOptionsChangeHotkeyTitle	Tastenkürzel ändern - ~1~ ~2~
lOptionsCheck4Update	Nach Update suchen
lOptionsCtrl	Strg
lOptionsDirectoryOpusUseTabs	Verwende Registerkarten
lOptionsDisplayClipboardMenu	Zwischenablage
lOptionsDisplayFoldersInExplorerMenu	Ordner im Explorer
lOptionsDisplayGroupMenu	Gruppe der Ordnermenüs
lOptionsDisplayIcons	Zeige Icons im Menü
lOptionsDisplayMenus	Anzuzeigende Menüs:
lOptionsDisplayMenuShortcuts	Zeige &numerische Menü-Tastenkürzel
lOptionsDisplayRecentFolders	Kürzlich verwendete Ordner
lOptionsDisplaySpecialFolders	S&pezielle Ordner
lOptionsDisplaySpecialMenusShortcuts	Zeige diese Kurztasten im Hauptmenü
lOptionsGuiTitle	Optionen - ~1~ ~2~
lOptionsHotkeys	Andere Hotkeys
lOptionsIconSize	Symbolgröße im Menü
lOptionsKeyboard	Tastatur
lOptionsLanguage	Sprache
lOptionsLanguageLabels	Englisch|Französisch|Deutsch|Holländisch|Koreanisch|Schwedisch|Italienisch|Spanish
lOptionsMenuActiveWindow	Im aktiven Fenster
lOptionsMenuFixPosition	An fester Position
lOptionsMenuNearMouse	Nahe des Mauszeigers
lOptionsMenuPositionPrompt	Menü aufpoppen:
lOptionsMouse	Maus
lOptionsMouseAndKeyboard	Menü Hotkeys
lOptionsMouseButtonsText	Linke Maustaste|Mittlere Maustaste|Rechte Maustaste|Maus-Spezialtaste 1|Maus-Spezialtaste 2|Mausrad hoch|Mausrad runter|Mausrad nach links|Mausrad nach rechts|
lOptionsMouseCheckLButton	Die linke Maustaste kann nicht ohne Zusatztaste definiert werden.
lOptionsMouseNone	Keine
lOptionsNoKeyOrMouseSpecified	Kein Tastenkürzel oder Maustaste definiert. Der bestehende Hotkey ~1~ ist unverändert.
lOptionsOpenMenuOnTaskbar	Menü in der Taskleiste öffnen
lOptionsOtherOptions	Allgemein
lOptionsPopupFix	Popup-&Menü an fester Position
lOptionsPopupFixPositionX	Position X:
lOptionsPopupFixPositionY	Y:
lOptionsRecentFolders	Zuletzt verwendete Ordner
lOptionsRememberSettingsPosition	Fensterposition merken
lOptionsRunAtStartup	Beim Sta&rt ausführen
lOptionsShift	Shift
lOptionsSpacebar	verwende Leertaste
lOptionsTabFileManagersIntro	Für Nutzer von Dateimanagern von Drittanbietern
lOptionsTabHotkeysIntro	Legen Sie die Maustasten oder Tastaturkürzel fest, welche dieses Fenster oder Menü ansprechen.
lOptionsTabMouseAndKeyboardIntro	Legen Sie die Maustasten und Tastaturkürzel fest, welche das ~1~ (FP) Hauptmenü ansprechen.
lOptionsTabOtherOptionsIntro	Lassen Sie ~1~ funktionieren, wie Sie es wollen!
lOptionsTheme	Thema
lOptionsThirdParty	Unterstützung anderer Dateimananger
lOptionsThirdPartyDetail	WÃ¤hlen Sie die ~1~ Programmdatei (.exe) um die ~1~ Integration einzuschalten.
lOptionsThirdPartyDetailFPconnect	Wählen Sie die ausführbare Datei von FPconnect (.exe) für die Integration anderer Dateimanager.
lOptionsThirdPartyPrompt	Programmdatei:
lOptionsThirdPartyTitle	~1~ Benutzer
lOptionsThirdPartyTitleFPconnect	Andere Benutzer weiterer Dateimanager, die FPconnect verwenden
lOptionsTitles	Maustaste für FP Menü um Ordner in aktuellem Explorerfenster oder Dialogbox zu öffnen|Maustaste für FP Menü um Ordner in einem neuen Explorerfenster zu öffnen|Tastaturkürzel für FP Menü um Ordner in aktuellem Explorerfenster oder Dialogbox zu öffnen|Tastaturkürzel für FP Menü um Ordner in einem neuen Explorerfenster zu öffnen|Einstellungsfenster|Aktueller Ordner Menü|Gruppen-Menü|Kürzliche Ordner Menü|Zwischenablage-Menü
lOptionsTitlesSub	Diese Maustaste kann das Menü über Windows Explorer, unterstützte Dateimanager von Drittanbietern und Dialogboxen anzeigen.|Diese Maustaste zeigt das Menü überall anzeigen.|Diese Kurztaste zeigt das Menü im Windows Explorer, unterstützten Dateimanagern von Drittanbietern und Dialogboxen an.|Dieses Tastenkürzel zeigt das Menü jederzeit.|(Menü-Einstellungen und Optionen)|(Liste der aktuell im Explorer geöffneten Ordner)|(Liste der Ordnergruppen)|(Liste der Windows häufigen Orte)|(Liste der Pfade und URLs in der Zwischenablage)
lOptionsTotalCommanderUseTabs	Verwende Registerkarten
lOptionsTrayTip	Beim Start &Tray-Tip anzeigen
lOptionsTriggerFor	Auslöser für:
lOptionsWin	Win
lPickIconButtonCustom	Angepasst
lPickIconButtonDefault	Standard
lPickIconDocumentPrompt	Angepasstes oder Standard-Symbol für diese Art von Dokument verwenden?
lPickIconNoLocation	Bitte zuerst einen Favoriten auswählen, bevor ein Icon gewählt wird.
lPickIconTitle	Auswahl ~1~ Symbol - ~2~
lReloadPrompt	~1~  wurde in ~2~ geändert. Wollen Sie jetzt ~3~ in ~2~ neu laden? Ungespeicherte Änderungen am Ordnermenü gehen verloren.
lReloadPromptDefaultHotkey	Schnelltaste auf Standard zurückgesetzt. Diese Änderung tritt erst durch erneutes Laden von ~1~ in Kraft.`n`nWollen Sie ~1~ jetzt neu laden? Ungespeicherte Änderungen am Ordnermenü gehen verloren.
lTrayTipInstalledDetail	Zur Anzeige des ~1~ Menüs`nim Windows Explorer oder einer Dialogbox`n~2~ oder ~3~ drücken.`n`n~4~ oder ~5~`num ein neues Explorer-Fenster zu öffnen.
lTrayTipinstalledTitle	~1~ ~2~ bereit!
lTrayTipNoClipboardMenuDetail	Es gibt zur Zeit keine Ordner, Dokumente, Anwendungen oder URLs im Zwischenablage-Menü
lTrayTipNoClipboardMenuTitle	~1~ - Zwischenablage-Menü
lTrayTipNoFoldersInExplorerMenuDetail	Es gibt zur Zeit keinen anzeigbaren Ordner im aktuellen Folders-Menü
lTrayTipNoFoldersInExplorerMenuTitle	Aktuelle Ordner
lTrayTipWorkingDetail	Erzeuge Menüs
lTrayTipWorkingDetailFinished	Das Menü wurde aktualisiert.
lTrayTipWorkingTitle	~1~ ~2~ arbeite...
lUpdateButtonRemind	Erinnere mich
lUpdateError	Beim Zugriff auf die letzte Versionsnummer trat ein Fehler auf. Prüfe auf unterbrochene Updates.
lUpdatePrompt	Update ~1~ von v~2~ auf v~3~?
lUpdatePromptBeta	Es gibt eine neue ~1~ BETA-Version.`n`nUpdate ~1~ von v~2~ auf v~3~?
lUpdatePromptBetaContinue	Wollen Sie weiterhin über zukünftige Beta-Versionen informiert werden?
lUpdateTitle	Update ~1~?
lUpdateYouHaveLatest	Sie verwenden die aktuellste Version: ~1~.`n`nTrotzdem die ~2~ Webseite besuchen?
lWindowIsTreeviewText	Entschuldigung... Aufgrund einer Beschränkung von Windows wird diese Art Dialogbox (Baumstruktur) momentan nicht von ~1~ unterstützt.
lWindowIsTreeviewTitle	Baumstruktur-Dialogbox nicht unterstützt
